,lifetime_gross
1618,44793222
1619,49369899
1620,22168359
1621,34872033
1622,21722776
1623,36690067
1624,47000000
1625,47000000
1626,47000000
1627,25533818
1628,25533818
1629,14400000
1630,17768757
1631,14796236
1632,14796236
1633,2683519
1634,33244684
1635,33244684
1636,28501605
1637,14960255
1638,76606280
1639,76606280
1640,40996665
1641,14114488
1642,232906145
1643,30749142
1644,26098824
1645,65207127
1646,147253986
1647,144731527
1648,153083102
1649,41482207
1650,61503218
1651,94095523
1652,692588
1653,51618
1654,1236166
1655,1236166
1656,118450002
1657,87727583
1658,84563118
1659,84563118
1660,110230332
1661,25942000
1662,110230332
1663,25942000
1664,110230332
1665,25942000
1666,20931111
1667,102247150
1668,271841
1669,34670720
1670,34670720
1671,34670720
1672,34670720
1673,30925690
1674,8373585
1675,1277404
1676,17514980
1677,216540909
1678,2070399
1679,21288692
1680,35841901
1681,35841901
1682,35841901
1683,35841901
1684,30577969
1685,8153677
1686,45610410
1687,16000000
1688,12890752
1689,18564613
1690,38625550
1691,18000000
1692,39514713
1693,130724172
1694,44547681
1695,7027290
1696,3719509
1697,79808
1698,79808
1699,10631333
1700,111721910
1701,7491903
1702,7491903
1703,8443124
1704,36601993
1705,91666
1706,8551228
1707,9708373
1708,93602326
1709,111543479
1710,111543479
1711,50752337
1712,27281507
1713,2819485
1714,13677222
1715,87404651
1716,48462608
1717,87404651
1718,48462608
1719,87404651
1720,48462608
1721,87404651
1722,48462608
1723,87404651
1724,48462608
1725,49823037
1726,27931461
1727,71215869
1728,16393000
1729,11137801
1730,46704056
1731,51600000
1732,51600000
1733,51600000
1734,51600000
1735,8400000
1736,69821334
1737,3342223
1738,8247627
1739,7400000
1740,33000000
1741,5632086
1742,55041738
1743,28862081
1744,73691419
1745,18196170
1746,10353438
1747,33243020
1748,11582891
1749,11582891
1750,11582891
1751,25697647
1752,179870271
1753,20766616
1754,20766616
1755,7433663
1756,15185672
1757,21156152
1758,14568989
1759,14568989
1760,27100027
1761,113502426
1762,65705771
1763,55591409
1764,42953
1765,45724
1766,12729675
1767,28000000
1768,34368475
1769,34368475
1770,23834048
1771,14665733
1772,41357492
1773,47483002
1774,22166041
1775,15502112
1776,1872994
1777,15502112
1778,1872994
1779,23686027
1780,40471663
1781,37803872
1782,1953732
1783,19444631
1784,19444631
1785,19444631
1786,30031783
1787,6291444
1788,10224116
1789,37672941
1790,5502773
1791,34102780
1792,34102780
1793,34102780
1794,609939
1795,8341087
1796,70087718
1797,15923122
1798,15064946
1799,9623329
1800,73707461
1801,16757163
1802,206272
1803,57269863
1804,76270454
1805,10023282
1806,10319915
1807,785482
1808,45661
1809,45661
1810,45661
1811,186336279
1812,186336279
1813,2656784
1814,2656784
1815,129128133
1816,129128133
1817,129128133
1818,22912409
1819,501818
1820,43961
1821,240067
1822,18253415
1823,777423
1824,598645
1825,598645
1826,22482952
1827,21667789
1828,51249404
1829,2700000
1830,63779477
1831,21486757
1832,23591472
1833,23591472
1834,6070725
1835,53710019
1836,19507345
1837,53710019
1838,19507345
1839,53710019
1840,19507345
1841,23278931
1842,30688860
1843,4994094
1844,18644570
1845,5715174
1846,13431806
1847,38702310
1848,18875011
1849,10555348
1850,10555348
1851,9689816
1852,18784957
1853,141340178
1854,106614059
1855,1171001
1856,23245840
1857,141186864
1858,146125
1859,1782005
1860,41616262
1861,38072438
1862,1794086
1863,333760
1864,2281761
1865,2075084
1866,399748
1867,10697276
1868,21706101
1869,10389003
1870,56362352
1871,90757863
1872,2198044
1873,30331165
1874,55382927
1875,713239
1876,19398532
1877,19398532
1878,52929168
1879,9984123
1880,1009819
1881,1009819
1882,12069719
1883,1223034
1884,2652246
1885,40400657
1886,31853080
1887,26010864
1888,26010864
1889,22852487
1890,22852487
1891,32383850
1892,46683377
1893,59864
1894,2807390
1895,2807390
1896,2807390
1897,8863193
1898,40584421
1899,14594226
1900,14594226
1901,57563264
1902,602302
1903,106116
1904,6719864
1905,12905901
1906,9639390
1907,6451628
1908,40981289
1909,161491646
1910,1053788
1911,40002112
1912,12214338
1913,44619100
1914,2287818
1915,14540
1916,7683620
1917,416393
1918,59484742
1919,59484742
1920,6836201
1921,5794184
1922,4134992
1923,752045
1924,56399659
1925,111549836
1926,100494675
1927,162798565
1928,5078660
1929,5596708
1930,14328
1931,1656223
1932,10158
1933,4116395
1934,218080025
1935,218080025
1936,218080025
1937,4711220
1938,27398584
1939,24468550
1940,50612888
1941,35150960
1942,6948633
1943,36611610
1944,37499651
1945,50327960
1946,11603545
1947,81198894
1948,55600000
1949,43579163
1950,28061343
1951,11567217
1952,18319860
1953,10459961
1954,9257103
1955,9898412
1956,4611784
1957,34562556
1958,34562556
1959,34562556
1960,70187658
1961,101413188
1962,17105219
1963,100317794
1964,1945658
1965,23717291
1966,18587135
1967,41410568
1968,150415432
1969,47212904
1970,53715611
1971,75973200
1972,76572238
1973,76113124
1974,18924919
1975,85182160
1976,125049125
1977,127873716
1978,40946358
1979,14643997
1980,19739575
1981,4743287
1982,91258000
1983,25314189
1984,32324557
1985,13418091
1986,176591618
1987,90815558
1988,176591618
1989,90815558
1990,115821495
1991,73233
1992,36400491
1993,40283321
1994,50632037
1995,50632037
1996,135026902
1997,91137662
1998,56709981
1999,5672903
2000,1798862
2001,14401563
2002,2158775
2003,6330054
2004,1036818
2005,166082
2006,4912892
2007,3970078
2008,22365133
2009,12017369
2010,52894169
2011,14036005
2012,1576615
2013,16295774
2014,13539458
2015,7177431
2016,40456565
2017,40456565
2018,40456565
2019,20021322
2020,38500726
2021,6855137
2022,38500726
2023,6855137
2024,38500726
2025,6855137
2026,15945534
2027,8025872
2028,71624879
2029,6797218
2030,6797218
2031,8988731
2032,1142243
2033,7153487
2034,29844101
2035,41382841
2036,174803506
2037,109306210
2038,21458229
2039,27820000
2040,52293982
2041,5186646
2042,42724017
2043,11949484
2044,4197729
2045,4059673
2046,4197729
2047,4059673
2048,4197729
2049,4059673
2050,4197729
2051,4059673
2052,14919
2053,354952
2054,524864
2055,63366989
2056,15503
2057,81526121
2058,4398989
2059,541636
2060,421432
2061,421432
2062,26511114
2063,52880016
2064,36850101
2065,55970
2066,3117085
2067,32547800
2068,10827810
2069,15207
2070,15207
2071,6852450
2072,36663315
2073,27807627
2074,178278
2075,9090
2076,430404
2077,57469467
2078,17092453
2079,21017849
2080,21017849
2081,21017849
2082,21095638
2083,40846082
2084,40846082
2085,100489151
2086,116000000
2087,8400000
2088,8400000
2089,32589624
2090,32589624
2091,18999718
